ID	FC_log2
AASS	1.04565496875943
AATK	0.743085902733064
ABAT	1.47905362563625
ABCA1	3.85989667271425
ABCA12	4.81877164222653
ABCA3	0.667555201313196
ABCA5	0.846949164817058
ABCA7	0.643606409767245
ABCB6	1.2446691163199
ABCB9	0.83504363953708
ABCC1	0.347602575751657
ABCC10	0.840272028478957
ABCC2	0.390643517184639
ABCC3	0.804179552897876
ABCC5	0.412565434151636
ABCD1	0.696642185197176
ABCD4	0.597945460995203
ABCG4	1.71530393965134
ABHD14B	0.300079779124558
ABHD4	1.83809509882475
ABLIM1	0.484751778739407
ABLIM2	1.20487961215445
ABTB1	0.853798945439646
AC093375.1	1.27010747143315
ACADS	0.669385674264516
ACBD3	0.559394048064577
ACBD4	0.873875502422977
ACCS	0.815608146296947
ACER2	2.47087869735874
ACHE	1.59195191050598
ACOX1	0.344516378959134
ACP6	0.746817321795828
ACSF2	0.464545526439893
ACSS2	0.380055074031283
ACTA2	2.30434476895809
ACVR2A	0.609102212787715
ACVR2B	0.65839813354254
ADAM22	0.4837027604242
ADAMTS14	0.629129133914026
ADAMTS7	2.52279546882017
ADAP2	0.622326051838971
ADARB1	0.4014949676127
ADCK3	1.46649199903992
ADCK4	0.530346006735176
ADCK5	0.520235397943795
ADCY6	0.667789176093153
ADCY7	0.615124044635257
ADIRF	0.557147078407733
ADM	0.424369546619149
ADM2	1.45520687831283
ADRB2	1.31195746917297
AFF1	0.626892474751797
AFF4	0.405330832738448
AGAP2	0.509137759416098
AGAP3	0.426050204008689
AGBL5	0.600789011893144
AGRN	0.642336461450349
AHDC1	0.41640680629578
AHNAK	0.919922982233797
AHNAK2	2.23921285109407
AHSA2	0.695297405506438
AIM1L	0.778861666801038
AJUBA	0.511334828278434
AK1	0.670426081139666
AKR1B10	2.10665899366603
ALDH1A3	0.568648719258151
ALDH1L1	1.00357604046476
ALDH2	0.412510177936582
ALDH3A2	0.350791395247996
ALDH3B1	0.760357526366216
ALDH4A1	0.501394320044414
ALOX12B	1.17058549599284
ALOX12P2	0.915884894330257
ALOX5	3.26251854216886
ALPK3	0.866983358211503
ALS2CL	1.25351523513486
AMER1	1.0568565451507
AMZ2	0.928996277734904
AMZ2P1	0.923407760904285
ANGEL1	0.373043247728421
ANK1	1.25065381661505
ANK3	1.42965677697122
ANKRA2	2.24199078967769
ANKRD19P	0.969629986829736
ANKRD29	0.874819810314672
ANKRD33B	0.892118073555863
ANKRD46	0.503782331091595
ANKS6	0.529739135128717
ANKZF1	0.62071525472
ANO8	0.50670426370263
ANO9	0.674725403605215
ANTXR1	0.368093550392193
ANXA4	1.26992845569058
AP1G2	0.519757596351402
AP5Z1	0.451616474033065
APAF1	1.91277728328507
APBB2	0.605092452123778
APBB3	1.0399975055546
APH1B	0.912588551838054
APLP1	0.492150389537342
APOBEC3C	2.15881689427747
APOBEC3D	1.31927422940284
APOBEC3F	1.10571944090355
APOBEC3H	1.92782489534364
APOL2	0.537511388544712
APPBP2	0.574162869513266
AQP3	0.746500110527293
ARAP1	1.23522868005531
ARAP3	0.558589055574747
ARC	0.677006547823613
AREG	1.80793210842118
ARFGAP1	0.419754834665067
ARFGAP3	0.566157150724977
ARFGEF2	0.42243351430323
ARHGAP23	0.500599616608147
ARHGAP27	0.619953206966598
ARHGAP31	0.956168915480938
ARHGAP40	0.765270050854755
ARHGEF17	0.628738858984353
